Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date
CMLT06AMC1,84746650,,2,1,20090427,20080401,,0,0,0,0,0,0,0,3.22,237900.08,237900.08,239558.36,239558.36,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,1999.98,0,0,0,xxx,,0,0,10,0,0,0,9.25,0,8.73375,0,,,323,N,
CMLT06AMC1,84932177,,1,1,20090427,20080501,,761.72,46.87,0,0,0,0,0,1.52,112499.94,112499.94,112499.94,112499.94,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714.85,N,0,0,0,761.72,0,0,0,xxx,,0,0,10,0,0,0,8.125,0,7.60875,0,,,323,N,
CMLT06AMC1,84951979,,1,1,20090427,20081001,,569.68,36.06,0,0,0,0,0,1.17,86533.32,86456.14,86911.73,86911.73,77.18,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,77.18,533.62,N,0,0,0,646.86,0,0,0,xxx,,0,0,9,0,0,0,7.9,0,7.38375,0,,,323,N,
CMLT06AMC1,85236172,,2,1,20090427,20090301,,656.74,38.41,0,0,0,0,0,1.23,90730.03,92114.28,90938.08,92164.11,60.05,0,-1444.3,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,60.05,618.33,N,0,0,0,716.79,0,0,0,xxx,,0,0,0,0,0,0,8.55,0,8.03375,0,,,326,N,
CMLT06AMC1,85378057,,1,1,20090427,20080801,,620.98,31.85,0,0,0,0,0,1.03,76428.08,76380.68,76788.02,76788.02,47.4,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,47.4,589.13,N,0,0,0,668.38,0,0,0,xxx,,0,0,10,0,0,0,9.75,0,9.23375,0,,,326,N,
CMLT06AMC1,85420776,,1,1,20090427,20090301,,1076.12,53.14,0,0,0,0,0,1.73,127539.64,127465.95,127612.72,127539.64,73.69,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,73.69,1022.98,N,0,0,0,1149.81,0,0,0,xxx,,0,0,0,0,0,0,10.125,0,9.60875,0,,,326,N,
CMLT06AMC1,85429496,,1,1,20090427,20081001,,480.63,26.41,0,0,0,0,0,0.86,63379.33,63362.12,63463.43,63463.43,17.2,0,0,0.01,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,454.22,N,0,0,0,497.83,0,0,0,xxx,,0,0,0,0,0,0,9.1,0,8.58375,0,,,326,N,
CMLT06AMC1,85436137,,1,1,20090427,20090301,,1941.87,99.58,0,0,0,0,0,3.24,239000,238999.99,239000,239000,0.01,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1842.29,N,0,0,0,1941.88,0,0,0,xxx,,0,0,0,0,0,0,9.75,0,9.23375,0,,,326,N,
CMLT06AMC1,85472694,,2,1,20090427,20090301,,2120.62,108.75,0,0,0,0,0,3.53,260999.99,261000,260999.99,260999.99,0,0,0,-0.01,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011.87,N,0,0,0,2120.62,0,0,0,xxx,,0,0,0,0,0,0,9.75,0,9.23375,0,,,326,N,
CMLT06AMC1,85473452,,2,1,20090427,20080801,,1462.5,75,0,0,0,0,0,2.44,180000,180000,180000,180000,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387.5,N,0,0,0,1462.5,0,0,0,xxx,,0,0,0,0,0,0,9.75,0,9.23375,0,,,326,N,
CMLT06AMC1,85480291,,1,1,20090427,20090101,,1264.98,126.5,0,0,0,0,0,4.11,303595.77,303158.8,304464.27,304464.27,436.97,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,436.97,1138.48,N,0,0,0,1701.95,0,0,0,xxx,,0,0,0,0,0,0,5,0,4.48375,0,,,326,Y,20081231
CMLT06AMC1,85481091,,1,1,20090427,20080601,,1165.53,59.47,0,0,0,0,0,1.93,142717.47,142629.77,143580.67,143580.67,87.69,0,0,0.01,,0,20081124,0,0,0,0,0,0,0,0,0,0,0,0,0,87.69,1106.06,N,0,0,0,1253.22,0,0,0,xxx,,0,0,10,0,0,0,9.8,0,9.28375,0,,,326,N,
CMLT06AMC1,85498939,,1,1,20090427,20090301,,503.05,26.34,0,0,0,0,0,0.86,63210.13,63169.76,63250.17,63210.13,40.36,0,0,0.01,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.36,476.71,N,0,0,0,543.41,0,0,0,xxx,,0,0,0,0,0,0,9.55,0,9.03375,0,,,327,N,
CMLT06AMC1,85501013,,2,1,20090427,20080201,,1075.48,59.75,0,0,0,0,0,1.94,143397.66,143397.66,143397.66,143397.66,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.73,N,0,0,0,1075.48,0,0,0,xxx,,0,0,10,0,0,0,9,0,8.48375,0,,,325,N,
CMLT06AMC1,85502730,,2,1,20090427,20080501,,1462.5,75,0,0,0,0,0,2.44,180000,180000,180000,180000,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387.5,N,0,0,0,1462.5,0,0,0,xxx,,0,0,10,0,0,0,9.75,0,9.23375,0,,,326,N,
CMLT06AMC1,85503373,,1,1,20090427,20090401,,1429.55,110.82,0,0,0,0,0,3.6,265962.23,265662.62,265962.23,265662.62,299.61,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,1729.16,0,0,0,xxx,,0,0,0,0,0,0,6.45,0,5.93375,0,,,326,N
CMLT06AMC1,85503530,,1,1,20090427,20090301,,971.11,60.69,0,0,0,0,0,1.94,143494.49,145559.43,145652.57,145652.57,107.53,0,-2172.47,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,107.53,910.42,N,0,0,0,1078.64,0,0,0,xxx,,0,0,0,0,0,0,8,0,7.48375,0,,,327,N
CMLT06AMC1,85504215,,1,1,20090427,20090301,,593.64,31.58,0,0,0,0,0,1.03,75783.43,75733.12,75882.86,75783.43,50.3,0,0,0.01,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3,562.06,N,0,0,0,643.94,0,0,0,xxx,,0,0,0,0,0,0,9.4,0,8.88375,0,,,326,N
CMLT06AMC1,85528859,,1,1,20090427,20090401,,624.57,34.89,0,0,0,0,0,1.13,83741.63,83681.32,83741.63,83681.32,60.31,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,684.88,0,0,0,xxx,,0,0,0,0,0,0,8.95,0,8.43375,0,,,326,N
CMLT06AMC1,85532059,,1,1,20090427,20071001,,2833.52,145.31,0,0,0,0,0,4.72,348740.94,348662.74,350417.89,350417.89,78.2,0,0,0,,0,20081229,0,0,0,0,0,0,0,0,0,0,0,0,0,78.2,2688.21,N,0,0,0,2911.72,0,0,0,xxx,,0,0,10,0,0,0,9.75,0,9.23375,0,,,326,N
CMLT06AMC1,85532778,,1,1,20090427,20071001,,0,0,0,0,0,0,0,1.18,87201.71,0,87634.52,0,0,0,0,0,,4,20090331,0,0,87201.71,0,0,0,87201.71,15428.17,102629.88,0,0,0,0,0,0,Y,0,0,0,959.72,0,0,0,xxx,,0,0,10,0,0,0,12.8,0,12.28375,0,,,326,N
CMLT06AMC1,85534337,,1,1,20090427,20090101,,1529.64,78.44,0,0,0,0,0,2.55,188262.89,188146.11,188607.59,188493.62,116.77,0,0,0.01,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,116.77,1451.2,N,0,0,0,1646.41,0,0,0,xxx,,0,0,0,0,0,0,9.75,0,9.23375,0,,,326,N
CMLT06AMC1,85538932,,1,1,20090427,20090301,,670.89,39.23,0,0,0,0,0,1.28,94160.38,94087.39,94232.85,94160.38,72.99,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,72.99,631.66,N,0,0,0,743.88,0,0,0,xxx,,0,0,0,0,0,0,8.55,0,8.03375,0,,,326,N
CMLT06AMC1,85547933,,1,1,20090427,20081001,,908.25,72.08,0,0,0,0,0,2.34,173000,173000,173000,173000,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.17,N,0,0,0,908.25,0,0,0,xxx,,0,0,0,0,0,0,6.3,0,5.78375,0,,,326,N
CMLT06AMC1,85550333,,1,1,20090427,20090401,,565.16,44.5,0,0,0,0,0,1.45,106802.2,106679.78,106802.2,106679.78,122.42,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,687.58,0,0,0,xxx,,0,0,0,0,0,0,6.35,0,5.83375,0,,,326,N
CMLT06AMC1,85554178,,1,1,20090427,20081201,,1892.31,93.45,0,0,0,0,0,3.04,224273.86,224144.29,224656.13,224656.13,129.58,0,0,-0.01,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,129.58,1798.86,N,0,0,0,2021.89,0,0,0,xxx,,0,0,0,0,0,0,10.125,0,9.60875,0,,,326,N
CMLT06AMC1,85555738,,2,1,20090427,20061201,,3958.28,198.91,0,0,0,0,0,6.46,477380,477379.99,477380,477380,0,0,0,0.01,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3759.37,N,0,0,0,3958.28,0,0,0,xxx,,0,0,11,0,0,0,9.95,0,9.43375,0,,,326,N
CMLT06AMC1,85556892,,2,1,20090427,20090301,,741,38,0,0,0,0,0,1.24,91200,91200,91200,91200,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,N,0,0,0,741,0,0,0,xxx,,0,0,0,0,0,0,9.75,0,9.23375,0,,,326,N
CMLT06AMC1,85559573,,1,1,20090427,20081001,,1411.86,79.32,0,0,0,0,0,2.58,190363.15,190224.79,191039.82,191039.82,138.36,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,138.36,1332.54,N,0,0,0,1550.22,0,0,0,xxx,,0,0,0,0,0,0,8.9,0,8.38375,0,,,326,N
CMLT06AMC1,85561934,,1,1,20090427,20090301,,1065.09,71.01,0,0,0,0,0,2.31,170414.89,170256.35,170572.44,170414.89,158.54,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,158.54,994.08,N,0,0,0,1223.63,0,0,0,xxx,,0,0,0,0,0,0,7.5,0,6.98375,0,,,327,N
CMLT06AMC1,85569937,,2,1,20090427,20080501,,866.24,50.96,0,0,0,0,0,1.66,122293.39,122197.71,123302.42,123213.89,95.68,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,95.68,815.28,N,0,0,0,961.92,0,0,0,xxx,,0,0,9,0,0,0,8.5,0,7.98375,0,,,326,N
CMLT06AMC1,85572337,,1,1,20090427,20090301,,1075.21,87.42,0,0,0,0,0,2.84,209796.85,209545.46,210295.78,209796.84,251.39,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,251.39,987.79,N,0,0,0,1326.6,0,0,0,xxx,,0,0,0,0,0,0,6.15,0,5.63375,0,,,326,N,
CMLT06AMC1,85572659,,2,1,20090427,20080301,,1574.39,77.94,0,0,0,0,0,2.53,187055.7,186947.11,188485.89,188485.89,108.59,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,108.59,1496.45,N,0,0,0,1682.98,0,0,0,xxx,,0,0,10,0,0,0,10.1,0,9.58375,0,,,326,N,
