Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date,Beginning Deferred Balance,Ending Deferred Balance
CMLT06AMC1,97755151,,1,1,20190725,20190601,,892.06,89.21,0,0,0,0,0,2.9,214094.44,213786.51,214401.09,214094.44,307.93,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,307.93,802.85,N,0,0,0,1199.99,0,0,0,xxx,,0,0,0,0,0,0,5,0,4.48375,0,,,203,Y,20090113,,
CMLT06AMC1,97503916,,1,1,20190725,20190601,,364.06,60.68,0,0,0,0,0,1.97,145625.46,145445.38,145805.09,145625.46,180.08,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,67.78,180.08,303.38,N,0,0,0,544.14,0,0,0,xxx,,0,0,0,0,0,0,3,0,2.48375,0,,,203,Y,20090112,,
CMLT06AMC1,98049315,,2,1,20190725,20190601,,188.52,26.93,0,0,0,0,0,0.88,64633.96,64560.74,64706.97,64633.96,73.22,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.98,73.22,161.59,N,0,0,0,261.74,0,0,0,xxx,,0,0,0,0,0,0,3.5,0,2.98375,0,,,203,N,,,
CMLT06AMC1,97649115,,2,1,20190725,20190501,,266.09,33.26,0,0,0,0,0,1.08,79825.8,79660.28,79990.77,79990.77,165.52,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,165.52,232.83,N,0,0,0,431.61,0,0,0,xxx,,0,0,0,0,0,0,4,0,3.48375,0,,,203,N,,,
CMLT06AMC1,97925838,,1,1,20190725,20190601,,265.19,66.3,0,0,0,0,0,2.15,159113.58,158854.14,159372.59,159113.58,259.44,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,184.07,259.44,198.89,N,0,0,0,524.63,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,204,N,,,
CMLT06AMC1,151585361,,1,1,20190725,20190701,,514.31,32.65,0,0,0,0,0,1.06,78370.31,78186.48,78552.95,78186.48,183.83,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,698.14,0,0,0,xxx,,0,0,0,0,0,0,7.875,0,7.35875,0,,,203,N,,,
CMLT06AMC1,98927791,,1,1,20190725,20190701,,551.67,58.07,0,0,0,0,0,1.89,139369.61,139137.93,139369.61,139137.93,231.68,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,783.35,0,0,0,xxx,,0,0,0,0,0,0,4.75,0,4.23375,0,,,204,Y,20081113,,
CMLT06AMC1,149610701,,2,1,20190725,20190601,,664.4,36.95,0,0,0,0,0,1.2,88685.5,88500.13,88869.5,88685.5,185.37,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,185.37,627.45,N,0,0,0,849.77,0,0,0,xxx,,0,0,0,0,0,0,8.99,0,8.47375,0,,,203,N,,,
CMLT06AMC1,145119004,,1,1,20190725,20190501,,1801.47,109.18,0,0,0,0,0,3.55,262032.47,261430.13,263224.83,262630.69,602.34,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,602.34,1692.29,N,0,0,0,2403.81,0,0,0,xxx,,0,0,0,0,0,0,8.25,0,7.73375,0,,,201,N,,,
CMLT06AMC1,97858674,,2,1,20190725,20190601,,589.73,147.43,0,0,0,0,0,4.79,353838.6,352308.93,353838.6,353838.6,1529.67,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1529.67,442.3,N,0,0,0,2119.4,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,203,Y,20081218,,
CMLT06AMC1,97870752,,1,1,20190725,20180201,,0,0,0,0,0,0,0,0,49.38,49.38,49.38,49.38,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,55.87,0,0,0,xxx,,0,0,0,0,0,0,4.875,0,4.35875,0,,,203,N,,,
CMLT06AMC1,98230238,,2,1,20190725,20190401,,554.03,60.86,0,0,0,0,0,1.98,146069.64,145830.87,146780.53,146544.46,238.77,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,238.77,493.17,N,0,0,0,792.8,0,0,0,xxx,,0,0,0,0,0,0,4.552,0,4.03575,0,,,203,N,,,
CMLT06AMC1,145426680,,1,1,20190725,20190601,,588.49,81.96,0,0,0,0,0,2.66,196711.42,196268.26,197153.25,196711.42,443.16,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,443.16,506.53,N,0,0,0,1031.65,0,0,0,xxx,,0,0,0,0,0,0,3.59,0,3.07375,0,,,200,Y,20080207,,
CMLT06AMC1,151110806,,2,1,20190725,20080201,,0,0,0,0,0,0,0,1.43,105664.15,105664.15,106557.32,106557.32,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-741.1,0,0,Y,0,0,0,835.76,0,0,0,xxx,,0,0,10,0,0,0,8.625,0,8.10875,0,,,203,N,,,
CMLT06AMC1,97051791,,2,1,20190725,20180601,,403.43,100.86,0,0,0,0,0,3.28,242056.41,241708.11,246191.1,246191.1,348.3,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,348.3,302.57,N,0,0,0,751.73,0,0,0,xxx,,0,0,10,0,0,0,2,0,1.48375,0,,,203,Y,20080618,,
CMLT06AMC1,97462113,,1,1,20190725,20190701,,531.38,27.85,0,0,0,0,0,0.91,66850.87,66669.86,66850.87,66669.86,131.01,50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,662.39,0,0,0,xxx,,0,0,0,0,0,0,9.538,0,9.02175,0,,,204,N,,,
CMLT06AMC1,97333678,,1,1,20190725,20190201,,0,0,0,0,0,0,0,0.5,36620.01,36620.01,36620.01,36620.01,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,509.7,0,0,Y,0,0,0,270.91,0,0,0,xxx,,0,0,0,0,0,0,5.125,0,4.60875,0,,,203,N,,,
CMLT06AMC1,97898274,,1,1,20190725,20181101,,0,0,0,0,0,0,0,2.23,164504.3,164504.3,165873.71,165873.71,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,1529.73,0,0,0,xxx,,0,0,10,0,0,0,8.625,0,8.10875,0,,,203,N,,,
CMLT06AMC1,97439715,,1,1,20190725,20190601,,318.47,53.08,0,0,0,0,0,1.73,127386.21,127232.23,127539.81,127386.21,153.98,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,51.67,153.98,265.39,N,0,0,0,472.45,0,0,0,xxx,,0,0,0,0,0,0,3,0,2.48375,0,,,203,Y,20090715,,
CMLT06AMC1,97911879,,2,1,20190725,20190701,,777.8,100.36,0,0,0,0,0,3.26,240868.44,240643.86,240868.44,240643.86,224.58,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,1002.38,0,0,0,xxx,,0,0,0,0,0,0,3.875,0,3.35875,0,,,203,N,,,
CMLT06AMC1,97760110,,1,1,20190725,20190801,,512.4,22.67,0,0,0,0,0,0.74,54414.13,54325.28,54325.28,54235.59,88.85,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,601.25,0,0,0,xxx,,0,0,0,0,0,0,11.3,0,10.78375,0,,,203,N,,,
CMLT06AMC1,99020158,,1,1,20190725,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,-175,0,-175,0,0,0,0,0,0,N,0,0,0,0,0,0,0,xxx,,0,0,0,0,0,0,0,0,-0.51625,0,,,204,N,,,
CMLT06AMC1,96744313,,2,1,20190725,20190601,,117.49,18.07,0,0,0,0,0,0.59,43439,43320.22,43498.15,43379.69,59.47,59.31,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,147.88,59.47,99.42,N,0,0,0,176.96,0,0,0,xxx,,0,0,0,0,0,0,3.25,0,2.73375,0,,,203,N,,,
