Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date
CMLT06AMC1,84932177,,1,1,20130425,20080501,,0,0,0,0,0,0,0,1.52,112499.94,112499.94,112499.94,112499.94,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,857.14,0,0,0,xxx,,0,0,10,0,0,0,7.85,0,7.33375,0,,,275,N,
CMLT06AMC1,84951979,,1,1,20130425,20090801,,0,0,0,0,0,0,0,1.14,84443.38,84443.38,86142.3,86142.3,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,646.85,0,0,0,xxx,,0,0,0,0,0,0,7.9,0,7.38375,0,,,275,N,
CMLT06AMC1,85236172,,2,1,20130425,20130101,,0,0,0,0,0,0,0,1.49,110240.04,110240.04,110861.68,110861.68,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,495.33,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,278,N,
CMLT06AMC1,85420776,,1,1,20130425,20110401,,0,0,0,0,0,0,0,1.67,123186.42,123186.42,125194.86,125194.86,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,1074.67,0,0,0,xxx,,0,0,11,0,0,0,9.3,0,8.78375,0,,,278,N,
CMLT06AMC1,85472694,,2,1,20130425,20130401,,406.07,101.52,0,0,0,0,0,3.3,243643.38,243286.59,243999.57,243286.59,356.79,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,132.22,0,0,N,0,0,0,762.86,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,278,N,
CMLT06AMC1,85480291,,1,1,20130425,20110901,,0,0,0,0,0,0,0,4.84,357224.99,357224.99,359903.65,359903.65,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,1491.24,0,0,0,xxx,,0,0,10,0,0,0,2,0,1.48375,0,,,278,Y,20081231
CMLT06AMC1,85498939,,1,1,20130425,20130401,,479.24,25.09,0,0,0,0,0,0.82,60218.44,60160.02,60276.4,60160.02,58.42,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,537.66,0,0,0,xxx,,0,0,0,0,0,0,9.55,0,9.03375,0,,,279,N,
CMLT06AMC1,85503530,,1,1,20130425,20120801,,243.27,60.82,0,0,0,0,0,1.98,145959.16,144316.8,147590.61,147590.61,409.56,1232.8,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,545.8,409.56,182.45,N,0,0,0,652.83,0,0,0,xxx,,0,0,10,0,0,0,2,0,1.48375,0,,,279,N,
CMLT06AMC1,85504215,,1,1,20130425,20130101,,279.64,31.35,0,0,0,0,0,1.02,75238.98,75083.95,75547.32,75547.32,155.03,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,155.03,248.29,N,0,0,0,434.67,0,0,0,xxx,,0,0,0,0,0,0,4.46,0,3.94375,0,,,278,N,
CMLT06AMC1,85534337,,1,1,20130425,20121201,,1217.58,76.58,0,0,0,0,0,2.49,183786.04,183556.78,184464.8,184464.8,229.26,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,229.26,1141,N,0,0,0,1446.84,0,0,0,xxx,,0,0,0,0,0,0,7.95,0,7.43375,0,,,278,N,
CMLT06AMC1,85538932,,1,1,20130425,20130301,,636.02,37.19,0,0,0,0,0,1.21,89265.36,89157.5,89372.46,89265.36,107.86,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,107.86,598.83,N,0,0,0,743.88,0,0,0,xxx,,0,0,0,0,0,0,8.55,0,8.03375,0,,,278,N,
