Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date
CMLT06AMC1,97509350,,1,1,20150126,20150101,,83.46,20.87,0,0,0,0,0,0.68,50076.69,49977.3,50076.69,49977.3,99.39,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,108.6,0,0,N,0,0,0,182.85,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,257,N,
CMLT06AMC1,97285795,,1,1,20150126,20141201,,313.16,78.29,0,0,0,0,0,2.54,187895.11,187485.79,188303.75,187895.11,409.32,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,82.27,409.32,234.87,N,0,0,0,722.48,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,257,Y,20080930
CMLT06AMC1,98247034,,2,1,20150126,20141201,,169.63,42.41,0,0,0,0,0,1.38,101776.74,101462.19,102090.77,101776.74,314.55,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,314.55,127.22,N,0,0,0,484.18,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,258,N,
CMLT06AMC1,96960075,,2,1,20150126,20141201,,703.54,49.9,0,0,0,0,0,1.62,119751.6,119552.44,119949.6,119751.6,199.16,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,199.16,653.64,N,0,0,0,902.7,0,0,0,xxx,,0,0,0,0,0,0,7.05,0,6.53375,0,,,257,N,
CMLT06AMC1,96754916,,1,1,20150126,20110401,,0,0,0,0,0,0,0,2.09,154500.95,154500.95,162041.85,162041.85,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,940.53,0,0,0,xxx,,0,0,10,0,0,0,5.01,0,4.49375,0,,,257,N,
CMLT06AMC1,97375836,,2,1,20150126,20141001,,691.56,172.89,0,0,0,0,0,5.62,414933.78,414362.41,416073.67,416073.67,571.37,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,571.37,518.67,N,0,0,0,1262.93,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,257,N,
CMLT06AMC1,98394638,,1,1,20150126,20120601,,0,0,0,0,0,0,0,2.54,187742.95,187742.95,194396.86,194396.86,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,1237.33,0,0,0,xxx,,0,0,0,0,0,0,5.675,0,5.15875,0,,,257,N,
CMLT06AMC1,98284953,,1,1,20150126,20141201,,40.49,10.12,0,0,0,0,0,0.33,24295.99,24236.81,24355.07,24295.99,59.18,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,30.03,59.18,30.37,N,0,0,0,99.67,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,258,N,
CMLT06AMC1,97380273,,2,1,20150126,20150101,,232.04,58.01,0,0,0,0,0,1.89,139222.95,138919.87,139222.95,138919.87,281.15,21.93,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,62.89,0,0,N,0,0,0,513.19,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,257,N,
CMLT06AMC1,98107279,,1,1,20150126,20141201,,773.78,39.68,0,0,0,0,0,1.29,95234.77,95118.44,95234.77,95234.77,116.33,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,116.33,734.1,N,0,0,0,890.11,0,0,0,xxx,,0,0,0,0,0,0,9.75,0,9.23375,0,,,257,N,
