Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date
CMLT06AMC1,84746650,,2,1,20080125,20071101,,1851.08,100.06,0,0,0,0,0,3.25,240140.06,239992.03,0,0,148.03,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,148.03,1751.02,N,0,0,0,1999.11,0,0,0,xxx,,0,0,0,0,0,0,9.25,0,8.73375,0,,,338,x,xxxxxxxx
CMLT06AMC1,84932177,,1,1,20080125,20071201,,735.94,46.87,0,0,0,0,0,1.52,112499.94,112499.94,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.07,N,0,0,0,735.94,0,0,0,xxx,,0,0,0,0,0,0,7.85,0,7.33375,0,,,338,x,xxxxxxxx
CMLT06AMC1,84951979,,1,1,20080125,20071201,,576.91,36.51,0,0,0,0,0,1.19,87632.31,87562.36,0,0,69.95,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,69.95,540.4,N,0,0,0,646.86,0,0,0,xxx,,0,0,0,0,0,0,7.9,0,7.38375,0,,,338,x,xxxxxxxx
CMLT06AMC1,85221810,,2,1,20080125,20070201,,1512.41,94.53,0,0,0,0,0,3.07,226861.4,226687.61,0,0,173.79,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,173.79,1417.88,N,0,0,0,1686.2,0,0,0,xxx,,0,0,10,0,0,0,8,0,7.48375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85236172,,2,1,20080125,20071201,,653.56,38.22,0,0,0,0,0,1.24,91727.32,91664.09,0,0,63.23,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,63.23,615.34,N,0,0,0,716.79,0,0,0,xxx,,0,0,0,0,0,0,8.55,0,8.03375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85378057,,1,1,20080125,20071201,,534.36,32.19,0,0,0,0,0,1.05,77256.15,77200.26,0,0,55.89,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,55.89,502.17,N,0,0,0,590.25,0,0,0,xxx,,0,0,0,0,0,0,8.3,0,7.78375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85402899,,1,1,20080125,20061101,,623.89,34.85,0,0,0,0,0,1.13,83650.39,83629.56,0,0,20.83,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83,589.04,N,0,0,0,644.72,0,0,0,xxx,,0,0,11,0,0,0,8.95,0,8.43375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85403293,,1,1,20080125,20071201,,683.18,40.67,0,0,0,0,0,1.32,97596.54,97517.88,0,0,78.66,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,78.66,642.51,N,0,0,0,761.84,0,0,0,xxx,,0,0,0,0,0,0,8.4,0,7.88375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85420776,,1,1,20080125,20071201,,997.56,53.63,0,0,0,0,0,1.74,128716.96,128640.32,0,0,76.64,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,76.64,943.93,N,0,0,0,1074.2,0,0,0,xxx,,0,0,0,0,0,0,9.3,0,8.78375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85429496,,1,1,20080125,20071101,,482.47,26.51,0,0,0,0,0,0.86,63622.36,63607,0,0,15.36,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,455.96,N,0,0,0,497.83,0,0,0,xxx,,0,0,0,0,0,0,9.1,0,8.58375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85436137,,1,1,20080125,20071201,,1702.88,99.58,0,0,0,0,0,3.24,239000,239000,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603.3,N,0,0,0,1702.88,0,0,0,xxx,,0,0,0,0,0,0,8.55,0,8.03375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85438851,,1,1,20080125,20080101,,729.04,42.14,0,0,0,0,0,1.37,101139.08,101111.68,0,0,27.4,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,756.44,0,0,0,xxx,,0,0,0,0,0,0,8.65,0,8.13375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85472694,,2,1,20080125,20080101,,1680.19,108.75,0,0,0,0,0,3.53,261000,261000,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,1680.19,0,0,0,xxx,,0,0,0,0,0,0,7.725,0,7.20875,0,,,341,x,xxxxxxxx
CMLT06AMC1,85473452,,2,1,20080125,20071201,,1140,75,0,0,0,0,0,2.44,180000,180000,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,N,0,0,0,1140,0,0,0,xxx,,0,0,0,0,0,0,7.6,0,7.08375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85480291,,1,1,20080125,20080101,,1743.32,114.24,0,0,0,0,0,3.71,274179.42,273954.11,0,0,225.31,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,1968.63,0,0,0,xxx,,0,0,0,0,0,0,7.63,0,7.11375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85481091,,1,1,20080125,20070801,,1057.17,60.07,0,0,0,0,0,1.95,144159.17,144064.51,0,0,94.66,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,94.66,997.1,N,0,0,0,1151.83,0,0,0,xxx,,0,0,0,0,0,0,8.8,0,8.28375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85492015,,1,1,20080125,20070301,,532.07,26.34,0,0,0,0,0,0.86,63215.86,63183.76,0,0,32.1,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,505.73,N,0,0,0,564.17,0,0,0,xxx,,0,0,10,0,0,0,10.1,0,9.58375,0,,,341,x,xxxxxxxx
CMLT06AMC1,85498939,,1,1,20080125,20071201,,507.58,26.58,0,0,0,0,0,0.86,63780.14,63743.89,0,0,35.86,0.39,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,35.86,481,N,0,0,0,543.44,0,0,0,xxx,,0,0,0,0,0,0,9.55,0,9.03375,0,,,342,x,xxxxxxxx
CMLT06AMC1,85501013,,2,1,20080125,20080101,,908.19,59.75,0,0,0,0,0,1.94,143397.66,143397.66,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,908.19,0,0,0,xxx,,0,0,0,0,0,0,7.6,0,7.08375,0,,,340,x,xxxxxxxx
CMLT06AMC1,85502730,,2,1,20080125,20071201,,1140,75,0,0,0,0,0,2.44,180000,180000,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,N,0,0,0,1140,0,0,0,xxx,,0,0,0,0,0,0,7.6,0,7.08375,0,,,341,x,xxxxxxxx
