Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date
CMLT06AMC1,96846670,,2,1,20141125,20141001,,380.79,95.2,0,0,0,0,0,3.09,228476.68,223639.88,228795.88,223967.13,319.74,4509.55,7.51,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,300.66,319.74,285.59,N,0,0,0,700.53,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,259,N,
CMLT06AMC1,149175242,,2,1,20141125,20141001,,1012.3,72.41,0,0,0,0,0,2.35,173785.81,173498.81,174354.83,173785.81,287,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,287,939.89,N,0,0,0,1299.3,0,0,0,xxx,,0,0,0,0,0,0,6.99,0,6.47375,0,,,259,N,
CMLT06AMC1,97065031,,2,1,20141125,20141001,,2304.19,252.67,0,0,0,0,0,8.21,606418.01,605032.24,607798.54,606418.01,1385.77,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1385.77,2051.52,N,0,0,0,3689.96,0,0,0,xxx,,0,0,0,0,0,0,4.5596,0,4.04335,0,,,259,N,
CMLT06AMC1,85831378,,2,1,20141125,20141001,,461.93,46.29,0,0,0,0,0,1.5,111086.47,110846.51,111325.43,111086.47,239.96,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,239.96,415.64,N,0,0,0,701.89,0,0,0,xxx,,0,0,0,0,0,0,4.99,0,4.47375,0,,,259,N,
CMLT06AMC1,97423479,,2,1,20141125,20140301,,1028.16,172.8,0,0,0,0,0,5.62,414718.58,413568.79,422687.91,422687.91,1149.79,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1149.79,855.36,N,0,0,0,2177.95,0,0,0,xxx,,0,0,0,0,0,0,2.975,0,2.45875,0,,,259,N,
CMLT06AMC1,98220833,,2,1,20141125,20141101,,266.48,32.3,0,0,0,0,0,1.05,77521.23,77338.38,77521.23,77338.38,182.85,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,52.69,0,0,N,0,0,0,449.33,0,0,0,xxx,,0,0,0,0,0,0,4.125,0,3.60875,0,,,259,N,
CMLT06AMC1,97567275,,2,1,20141125,20141001,,261.24,65.31,0,0,0,0,0,2.12,156743.9,156481.68,157005.68,156743.9,262.22,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,262.22,195.93,N,0,0,0,523.46,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,260,Y,20080430
CMLT06AMC1,97575476,,2,1,20141125,20141001,,1061.84,127.93,0,0,0,0,0,4.16,307039.33,306300.95,307775.16,307039.33,738.38,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,738.38,933.91,N,0,0,0,1800.22,0,0,0,xxx,,0,0,9,0,0,0,4.15,0,3.63375,0,,,259,N,
CMLT06AMC1,97735039,,2,1,20141125,20141001,,524.87,52.7,0,0,0,0,0,1.71,126474.86,126205.01,126743.59,126474.86,269.85,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,269.85,472.17,N,0,0,0,794.72,0,0,0,xxx,,0,0,0,0,0,0,4.98,0,4.46375,0,,,260,N,
CMLT06AMC1,146038401,,2,1,20141125,20141101,,249.59,62.4,0,0,0,0,0,2.03,149756.47,149497.36,149756.47,149497.36,259.11,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,187.3,0,0,N,0,0,0,508.7,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,256,N,
CMLT06AMC1,97751838,,2,1,20141125,20141101,,185.82,22.52,0,0,0,0,0,0.73,54057.88,53895.79,54057.88,53895.79,160.19,1.9,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,48.52,0,0,N,0,0,0,346.01,0,0,0,xxx,,0,0,0,0,0,0,4.125,0,3.60875,0,,,259,N,
CMLT06AMC1,98294473,,2,1,20141125,20140801,,1036.64,106.32,0,0,0,0,0,3.46,255171.94,254635.45,256768.43,256238.42,536.49,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,536.49,930.32,N,0,0,0,1573.13,0,0,0,xxx,,0,0,0,0,0,0,4.875,0,4.35875,0,,,260,N,
CMLT06AMC1,151231222,,2,1,20141125,20141001,,104.51,26.13,0,0,0,0,0,0.85,62706.36,62599.74,62706.36,62706.36,106.62,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,148.11,106.62,78.38,N,0,0,0,211.13,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,259,N,
CMLT06AMC1,148776123,,2,1,20141125,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,640,0,640,0,0,0,-542.4,0,0,N,0,0,0,0,0,0,0,xxx,,0,0,11,0,0,0,0,0,-0.51625,0,,,259,N,
CMLT06AMC1,143730927,,2,1,20141125,20141001,,1124.34,112.21,0,0,0,0,0,3.65,269303.71,268713.48,269891.48,269303.71,590.23,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,590.23,1012.13,N,0,0,0,1714.57,0,0,0,xxx,,0,0,0,0,0,0,5.01,0,4.49375,0,,,255,N,
CMLT06AMC1,98465834,,2,1,20141125,20141101,,417.12,104.28,0,0,0,0,0,3.39,250269.25,249883.87,250269.25,249883.87,385.38,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,173.2,0,0,N,0,0,0,802.5,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,260,Y,20090728
