Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date,Beginning Deferred Balance,Ending Deferred Balance
CMLT06AMC1,98508716,,1,1,20180625,20180601,,1560.17,94.56,0,0,0,0,0,3.07,226934.33,226482.52,226934.33,226482.52,451.81,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,2011.98,0,0,0,xxx,,0,0,0,0,0,0,8.25,0,7.73375,0,,,217,N,,,
CMLT06AMC1,97026314,,1,1,20180625,20180401,,0,0,0,0,0,0,0,0.37,27552.62,27520.52,27552.62,27520.52,0,32.1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,57.4,0,0,Y,0,0,0,100.98,0,0,0,xxx,,0,0,0,0,0,0,3,0,2.48375,0,,,216,Y,20080718,,
CMLT06AMC1,98232150,,1,1,20180625,20180501,,667.38,35.31,0,0,0,0,0,1.15,84746.24,84597.47,84893.85,84746.24,148.77,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,148.77,632.07,N,0,0,0,816.15,0,0,0,xxx,,0,0,0,0,0,0,9.45,0,8.93375,0,,,216,N,,,
CMLT06AMC1,149634024,,1,1,20180625,20180601,,257.56,33.23,0,0,0,0,0,1.08,79760.52,79665.02,79760.52,79665.02,95.5,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,353.06,0,0,0,xxx,,0,0,0,0,0,0,3.875,0,3.35875,0,,,216,N,,,
CMLT06AMC1,98462914,,1,1,20180625,20180501,,778.33,79.91,0,0,0,0,0,2.6,191786.19,191230.43,192339.7,191786.19,555.76,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,555.76,698.42,N,0,0,0,1334.09,0,0,0,xxx,,0,0,0,0,0,0,4.87,0,4.35375,0,,,217,N,,,
CMLT06AMC1,149639460,,1,1,20180625,20180201,,0,0,0,0,0,0,0,1.51,111744.23,111744.23,112326.3,112132.6,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,380.91,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,216,Y,20090731,,
CMLT06AMC1,97557599,,1,1,20180625,20180601,,281.39,70.35,0,0,0,0,0,2.29,168836.94,168583.09,169090.36,168583.09,253.85,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,N,0,0,0,535.24,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,216,N,,,
CMLT06AMC1,149647208,,1,1,20180625,20180601,,172.77,43.19,0,0,0,0,0,1.4,103646.71,103227.97,103646.71,103227.97,397.16,21.58,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,569.93,0,0,0,xxx,,0,0,0,0,0,0,2.0003,0,1.48405,0,,,216,N,,,
CMLT06AMC1,97562151,,1,1,20180625,20180501,,542.21,64.7,0,0,0,0,0,2.1,155286.15,154798.5,155772.11,155286.15,487.65,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,487.65,477.51,N,0,0,0,1029.86,0,0,0,xxx,,0,0,0,0,0,0,4.19,0,3.67375,0,,,216,N,,,
CMLT06AMC1,98241995,,1,1,20180625,20180501,,365,45.63,0,0,0,0,0,1.48,109500.82,109396.9,109602.12,109498.54,101.64,2.28,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,101.64,319.37,N,0,0,0,466.64,0,0,0,xxx,,0,0,0,0,0,0,4,0,3.48375,0,,,217,N,,,
CMLT06AMC1,144772845,,1,1,20180625,20180601,,276.42,69.1,0,0,0,0,0,2.25,165849.96,165216.08,165849.96,165216.08,625.1,8.78,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,901.52,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,214,N,,,
CMLT06AMC1,151667466,,1,1,20180625,20180601,,200.92,50.23,0,0,0,0,0,1.63,120551.78,119965.67,120551.78,119965.67,583.15,2.96,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,784.07,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,217,N,,,
CMLT06AMC1,97568034,,1,1,20180625,20180501,,567.44,66.76,0,0,0,0,0,2.17,160218.01,160064.56,160370.92,160218.01,153.45,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,54.43,153.45,500.68,N,0,0,0,720.89,0,0,0,xxx,,0,0,0,0,0,0,4.25,0,3.73375,0,,,216,Y,20080513,,
CMLT06AMC1,97568471,,1,1,20180625,20180501,,856.64,58.27,0,0,0,0,0,1.89,139858.82,139553.83,140161.96,139858.82,304.99,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,304.99,798.37,N,0,0,0,1161.63,0,0,0,xxx,,0,0,0,0,0,0,7.35,0,6.83375,0,,,216,N,,,
CMLT06AMC1,97037071,,1,1,20180625,20180501,,542.66,35.47,0,0,0,0,0,1.15,85123.68,84941.02,85305.18,85123.68,182.66,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,182.66,507.19,N,0,0,0,725.32,0,0,0,xxx,,0,0,0,0,0,0,7.65,0,7.13375,0,,,216,N,,,
CMLT06AMC1,151515087,,1,1,20180625,20180501,,479.35,47.27,0,0,0,0,0,1.54,113454.83,113130.96,113777.34,113454.83,323.87,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,323.87,432.08,N,0,0,0,803.22,0,0,0,xxx,,0,0,0,0,0,0,5.07,0,4.55375,0,,,216,N,,,
CMLT06AMC1,97577639,,1,1,20180625,20180601,,64.52,4.89,0,0,0,0,0,0.16,11730.43,11164.85,11730.43,11164.85,509.23,56.35,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,573.75,0,0,0,xxx,,0,0,0,0,0,0,6.6,0,6.08375,0,,,36,N,,,
CMLT06AMC1,97578470,,1,1,20180625,20180601,,157.78,39.44,0,0,0,0,0,1.28,94667.59,94500.46,94667.59,94500.46,167.13,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,98.99,0,0,N,0,0,0,324.91,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,216,Y,20080923,,
