Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date
CMLT06AMC1,98508716,,1,1,20161025,20160901,,1618.03,98.06,0,0,0,0,0,3.19,235349.8,234955.85,235741.06,235349.8,393.95,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,393.95,1519.97,N,0,0,0,2011.98,0,0,0,xxx,,0,0,0,0,0,0,8.25,0,7.73375,0,,,237,N,
CMLT06AMC1,98460918,,1,1,20161025,20161001,,918.96,59.67,0,0,0,0,0,1.94,143214.39,142918.5,143214.39,142918.5,295.62,0.27,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,1214.58,0,0,0,xxx,,0,0,0,0,0,0,7.7,0,7.18375,0,,,237,N,
CMLT06AMC1,97026314,,1,1,20161025,20160901,,47.02,11.76,0,0,0,0,0,0.38,28213.04,28174.27,28251.74,28213.04,38.77,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,38.77,35.26,N,0,0,0,85.79,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,236,Y,20080718
CMLT06AMC1,98232150,,1,1,20161025,20161001,,688.98,36.45,0,0,0,0,0,1.18,87489.24,87362.07,87489.24,87362.07,127.17,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,816.15,0,0,0,xxx,,0,0,0,0,0,0,9.45,0,8.93375,0,,,236,N,
CMLT06AMC1,149634024,,1,1,20161025,20160801,,0,0,0,0,0,0,0,1.16,85506.72,85506.72,85772.58,85772.58,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,480.29,0,0,0,xxx,,0,0,0,0,0,0,3,0,2.48375,0,,,236,N,
CMLT06AMC1,98462914,,1,1,20161025,20161001,,823.87,84.59,0,0,0,0,0,2.75,203006.46,202496.24,203006.46,202496.24,510.22,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,1334.09,0,0,0,xxx,,0,0,0,0,0,0,4.87,0,4.35375,0,,,237,N,
CMLT06AMC1,98233711,,1,1,20161025,20161001,,662.16,33.96,0,0,0,0,0,1.1,81496.07,81361.12,81496.07,81361.12,114.98,19.97,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,777.14,0,0,0,xxx,,0,0,0,0,0,0,9.75,0,9.23375,0,,,236,N,
CMLT06AMC1,149639460,,1,1,20161025,20160901,,193.94,48.49,0,0,0,0,0,1.58,116365.49,116178.52,116552.15,116365.49,186.97,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,6.59,186.97,145.45,N,0,0,0,380.91,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,236,Y,20090731
CMLT06AMC1,97557599,,1,1,20161025,20161001,,292.97,73.24,0,0,0,0,0,2.38,175784.96,175542.69,175784.96,175542.69,242.27,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,N,0,0,0,535.24,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,236,N,
CMLT06AMC1,149647208,,1,1,20161025,20160901,,185.85,46.46,0,0,0,0,0,1.51,111494.34,111110.26,111877.78,111494.34,384.08,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,384.08,139.39,N,0,0,0,569.93,0,0,0,xxx,,0,0,0,0,0,0,2.0003,0,1.48405,0,,,236,N,
