Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date,Beginning Deferred Balance,Ending Deferred Balance
CMLT06AMC1,98793953,,1,1,20190826,20190701,,666.36,80.48,0,0,0,0,0,2.62,193148.87,192943.72,193353.31,193148.87,205.15,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,205.15,585.88,N,0,0,0,871.51,0,0,0,xxx,,0,0,0,0,0,0,4.14,0,3.62375,0,,,203,N,,,
CMLT06AMC1,96730635,,2,1,20190826,20171201,,419.68,104.92,0,0,0,0,0,3.41,251806.23,251434.78,258747.54,258747.54,371.45,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-682.87,371.45,314.76,N,0,0,0,791.13,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,202,N,,,
CMLT06AMC1,97493076,,1,1,20190826,20190601,,0,0,0,0,0,0,0,0.86,63818.67,63708.96,63818.67,63708.96,0,109.71,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,165.56,0,0,Y,0,0,0,216.07,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,202,N,,,
CMLT06AMC1,97537955,,1,1,20190826,20190701,,202.53,50.63,0,0,0,0,0,1.65,121518.02,121308.4,121727.29,121518.02,209.62,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,127.57,209.62,151.9,N,0,0,0,412.15,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,202,N,,,
CMLT06AMC1,96839352,,1,1,20190826,20190601,,0,0,0,0,0,0,0,0.73,54238.92,54137.89,54238.92,54137.89,0,101.03,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,433.91,0,0,Y,0,0,0,557.54,0,0,0,xxx,,0,0,9,0,0,0,10.1,0,9.58375,0,,,202,N,,,
CMLT06AMC1,97002638,,1,1,20190826,20190801,,232.55,30.01,0,0,0,0,0,0.98,72015.62,71868.04,72015.62,71868.04,142.15,5.43,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,374.7,0,0,0,xxx,,0,0,0,0,0,0,3.875,0,3.35875,0,,,202,N,,,
CMLT06AMC1,97002877,,1,1,20190826,20190601,,269.13,35.88,0,0,0,0,0,1.17,86120.82,86034.25,86207.12,86207.12,86.57,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,44.54,86.57,233.25,N,0,0,0,355.7,0,0,0,xxx,,0,0,0,0,0,0,3.75,0,3.23375,0,,,202,N,,,
CMLT06AMC1,95577391,,2,1,20190826,20181201,,555.38,138.85,0,0,0,0,0,4.51,333228.1,332664.03,337150.38,337150.38,564.07,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,564.07,416.53,N,0,0,0,1119.45,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,202,N,,,
CMLT06AMC1,97365514,,1,1,20190826,20190801,,503.85,83.97,0,0,0,0,0,2.73,201539.75,201243.17,201539.75,201243.17,246.58,50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,140.39,0,0,N,0,0,0,750.43,0,0,0,xxx,,0,0,0,0,0,0,3,0,2.48375,0,,,202,N,,,
CMLT06AMC1,98813918,,1,1,20190826,20180901,,465.92,116.48,0,0,0,0,0,3.79,279547.73,278980.38,285169.56,285169.56,567.35,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,567.35,349.44,N,0,0,0,1033.27,0,0,0,xxx,,0,0,10,0,0,0,2,0,1.48375,0,,,203,Y,20081117,,
CMLT06AMC1,97650832,,1,1,20190826,20190801,,403.23,100.81,0,0,0,0,0,3.28,241939.65,240324.53,241939.65,240324.53,373.52,1241.6,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,776.75,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,202,N,,,
CMLT06AMC1,96917992,,1,1,20190826,20190701,,409.64,49.65,0,0,0,0,0,1.61,119169.39,118956.62,119381.43,119169.39,212.77,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,212.77,359.99,N,0,0,0,622.41,0,0,0,xxx,,0,0,0,0,0,0,4.125,0,3.60875,0,,,202,N,,,
