Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date
CMLT06AMC1,98508716,,1,1,20180425,20180401,,1566.32,94.93,0,0,0,0,0,3.09,227828.71,227383.05,227828.71,227383.05,445.66,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,2011.98,0,0,0,xxx,,0,0,0,0,0,0,8.25,0,7.73375,0,,,219,N,
CMLT06AMC1,97026314,,1,1,20180425,20180101,,0,0,0,0,0,0,0,0.37,27648.44,27616.58,27648.44,27616.58,0,31.86,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,57.6,0,0,Y,0,0,0,100.98,0,0,0,xxx,,0,0,0,0,0,0,3,0,2.48375,0,,,218,Y,20080718
CMLT06AMC1,98232150,,1,1,20180425,20180301,,669.69,35.43,0,0,0,0,0,1.15,85040.31,84893.85,85185.62,85040.31,146.46,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,146.46,634.26,N,0,0,0,816.15,0,0,0,xxx,,0,0,0,0,0,0,9.45,0,8.93375,0,,,218,N,
CMLT06AMC1,149634024,,1,1,20180425,20180401,,258.17,33.31,0,0,0,0,0,1.08,79950.6,79855.71,79950.6,79855.71,94.89,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,353.06,0,0,0,xxx,,0,0,0,0,0,0,3.875,0,3.35875,0,,,218,N,
CMLT06AMC1,98462914,,1,1,20180425,20180301,,782.82,80.37,0,0,0,0,0,2.61,192890.97,192339.7,192890.97,192890.97,551.27,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,551.27,702.45,N,0,0,0,1334.09,0,0,0,xxx,,0,0,0,0,0,0,4.87,0,4.35375,0,,,219,N,
CMLT06AMC1,149639460,,1,1,20180425,20180101,,186.56,46.64,0,0,0,0,0,1.52,111938.58,111744.23,112326.3,112326.3,194.35,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,194.35,139.92,N,0,0,0,380.91,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,218,Y,20090731
CMLT06AMC1,97557599,,1,1,20180425,20180301,,283.91,70.98,0,0,0,0,0,2.31,170343.36,169090.36,170594.28,169343.36,251.33,1000,1.67,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1249,251.33,212.93,N,0,0,0,535.24,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,218,N,
CMLT06AMC1,149647208,,1,1,20180425,20180401,,174.16,43.53,0,0,0,0,0,1.41,104482.1,104064.75,104482.1,104064.75,395.77,21.58,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,569.93,0,0,0,xxx,,0,0,0,0,0,0,2.0003,0,1.48405,0,,,218,N,
CMLT06AMC1,97562151,,1,1,20180425,20180301,,545.6,65.11,0,0,0,0,0,2.12,156256.37,155772.11,156738.95,156256.37,484.26,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,484.26,480.49,N,0,0,0,1029.86,0,0,0,xxx,,0,0,0,0,0,0,4.19,0,3.67375,0,,,218,N,
CMLT06AMC1,98241995,,1,1,20180425,20180301,,365.68,45.71,0,0,0,0,0,1.49,109703.08,109602.12,109803.71,109703.08,100.96,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,100.96,319.97,N,0,0,0,466.64,0,0,0,xxx,,0,0,0,0,0,0,4,0,3.48375,0,,,219,N,
