Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date
CMLT06AMC1,98160997,,2,1,20160525,20160501,,644.12,51.53,0,0,0,0,0,1.67,123670.43,123408.82,123670.43,123408.82,260.99,0.62,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,905.11,0,0,0,xxx,,0,0,0,0,0,0,6.25,0,5.73375,0,,,241,N,
CMLT06AMC1,95715074,,2,1,20160525,20151201,,346.15,86.54,0,0,0,0,0,2.81,207687.97,207386.38,208889.33,208889.33,301.59,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,301.59,259.61,N,0,0,0,647.74,0,0,0,xxx,,0,0,10,0,0,0,2,0,1.48375,0,,,240,N,
CMLT06AMC1,98242795,,2,1,20160525,20160501,,153.24,38.31,0,0,0,0,0,1.25,91941.86,91782.72,92100.74,91782.72,159.14,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,124.49,0,0,N,0,0,0,312.38,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,241,N,
CMLT06AMC1,97844153,,2,1,20160525,20160501,,770.38,76.88,0,0,0,0,0,2.5,184523.33,184022.68,184523.33,184022.68,500.65,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,1271.03,0,0,0,xxx,,0,0,0,0,0,0,5.01,0,4.49375,0,,,242,N,
CMLT06AMC1,98436439,,2,1,20160525,20160301,,221.55,55.39,0,0,0,0,0,1.8,132932.94,132721.05,133144.47,133144.47,211.89,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,211.89,166.16,N,0,0,0,433.44,0,0,0,xxx,,0,0,9,0,0,0,2,0,1.48375,0,,,241,N,
CMLT06AMC1,141817403,,2,1,20160525,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,189.57,0,189.57,0,0,0,-813.5,0,0,N,0,0,0,0,0,0,0,xxx,,0,0,11,0,0,0,0,0,-0.51625,0,,,237,N,
CMLT06AMC1,97270953,,2,1,20160525,20150101,,868.63,217.16,0,0,0,0,0,7.06,521178.38,520194.35,535743.88,535743.88,984.03,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,984.03,651.47,N,0,0,0,1852.66,0,0,0,xxx,,0,0,10,0,0,0,2,0,1.48375,0,,,241,N,
CMLT06AMC1,98049315,,2,1,20160525,20160501,,196.3,28.04,0,0,0,0,0,0.91,67304.24,67238.8,67304.24,67238.8,65.44,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,N,0,0,0,261.74,0,0,0,xxx,,0,0,0,0,0,0,3.5,0,2.98375,0,,,241,N,
CMLT06AMC1,97167035,,2,1,20160525,20150401,,783.6,195.9,0,0,0,0,0,6.37,470159.61,469523.3,477713.25,477713.25,636.31,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,636.31,587.7,N,0,0,0,1419.91,0,0,0,xxx,,0,0,10,0,0,0,2,0,1.48375,0,,,241,Y,20080613
CMLT06AMC1,97649115,,2,1,20160525,20160401,,144.17,36.04,0,0,0,0,0,1.17,86503.51,86303.54,86703.14,86503.51,199.97,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,199.97,108.13,N,0,0,0,344.14,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,241,N,
